|COD_COL|COLE_INST_NOMBRE|COLE_DEPTO_COLEGIO|COLE_CALENDARIO_COLEGIO|COLE_GENEROPOBLACION|EVALUADOS_ULTIMOS_3|COLE_NATURALEZA|INDICE_MATEMATICAS|INDICE_C_NATURALES|INDICE_SOCIALES_CIUDADANAS|INDICE_LECTURA_CRITICA|INDICE_INGLES|INDICE_TOTAL|COLE_CATEGORIA|NOMBRE_DEPARTAMENTO|NOMBRE_MUNICIPIO|ZONA|LATITUD|LONGITUD|MODE_ESTRATOVIVIENDA|IND_EST_TRAB|MODE_EDU_MADRE|MODE_EDU_PADRE|IND_BILINGUE|CARACTER_IE|INDICE_AJUST|Cluster
554|205495000053|I. E.  COLORADO|ANTIOQUIA|A|MI|42|OFICIAL|0.4707|0.5607|0.5161|0.583|0.5498|0.5339|D|ANTIOQUIA|NECHI|Rural|8.056667|-74.875833|Estrato 1|0|Secundaria (Bachillerato) completa|Primaria incompleta|None|ACADEMICO|0.14519148404083398|0
555|105756000493|I. E. BRAULIO MEJIA|ANTIOQUIA|A|MI|84|OFICIAL|0.662|0.6563|0.6543|0.6876|0.6481|0.6637|C|ANTIOQUIA|SONSON|Urbano|5.715185329|-75.30812577|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|TECNICO/ACADEMICO|0.2870873151134547|0
556|205154000225|I. E. R. CACERI|ANTIOQUIA|A|MI|33|OFICIAL|0.5869|0.6422|0.5926|0.6655|0.5632|0.6173|D|ANTIOQUIA|CAUCASIA|Rural|7.80650246|-74.92715274|Estrato 1|0|Primaria completa|Primaria incompleta|N|ACADEMICO|0.12515113336707243|0
557|205001010281|INST EDUC ALFONSO UPEGUI OROZCO|ANTIOQUIA|A|MI|181|OFICIAL|0.6914|0.706|0.7190000000000001|0.7435|0.6904|0.7131|B|ANTIOQUIA|MEDELLIN|Rural|6.287512|-75.610499|Estrato 2|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|None|TECNICO/ACADEMICO|0.514244976378804|3
558|105615000473|I. E. JOSEFINA MUNOZ GONZALEZ|ANTIOQUIA|A|MI|471|OFICIAL|0.7492|0.7406|0.7364|0.7694|0.76|0.7497|A|ANTIOQUIA|RIONEGRO|Urbano|6.155217604|-75.36948379|Estrato 2|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|TECNICO/ACADEMICO|0.8623211093235825|3
559|205120000366|I. E. AURELIO MEJIA|ANTIOQUIA|A|MI|66|OFICIAL|0.6059|0.6316|0.6031|0.6432|0.6002|0.6194|D|ANTIOQUIA|CACERES|Rural|7.576111|-75.35|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|ACADEMICO|0.2286047652587861|0
560|105234000086|I. E. MADRE LAURA MONTOYA|ANTIOQUIA|A|MI|136|OFICIAL|0.6243|0.6442|0.6444|0.6705|0.6388|0.6453|C|ANTIOQUIA|DABEIBA|Urbano|7.002689834|-76.26627673|Estrato 1|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|ACADEMICO|0.4047755834695863|0
561|105234000531|I. E.  JUAN HENRIQUE WHITE|ANTIOQUIA|A|MI|188|OFICIAL|0.6679|0.6346|0.6616|0.6865|0.6161|0.6591|C|ANTIOQUIA|DABEIBA|Urbano|7.001314391|-76.26282661|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|TECNICO/ACADEMICO|0.5061439245457711|0
562|105615000236|I. E. ESCUELA NORMAL SUPERIOR DE MARIA|ANTIOQUIA|A|MI|1341|OFICIAL|0.5229|0.5524|0.544|0.6003|0.5571|0.5551|D|ANTIOQUIA|RIONEGRO|Urbano|6.143536751|-75.37257954|Estrato 2|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|TECNICO/ACADEMICO|1.001840029804781|3
563|105615000236|I. E. ESCUELA NORMAL SUPERIOR DE MARIA|ANTIOQUIA|A|MI|371|OFICIAL|0.7321|0.7267|0.7247|0.76|0.7445|0.7365|A|ANTIOQUIA|RIONEGRO|Urbano|6.143536751|-75.37257954|Estrato 2|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|TECNICO/ACADEMICO|0.7720197687702339|3
564|205001010264|I.E. PRESBITERO JUAN J. ESCOBAR|ANTIOQUIA|A|MI|212|OFICIAL|0.6541|0.6807|0.6622|0.6935|0.6387|0.67|B|ANTIOQUIA|MEDELLIN|Rural|6.2783366460000005|-75.63480774|Estrato 2|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.5488718364961094|5
565|105172000220|I. E. MARIA AUXILIADORA|ANTIOQUIA|A|MI|85|OFICIAL|0.6853|0.6614|0.6683|0.7009|0.6353|0.6756|B|ANTIOQUIA|CHIGORODO|Urbano|7.667668745|-76.68979959|Estrato 1|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.2923382146827123|0
566|105088001555|IE HERNAN VILLA BAENA|ANTIOQUIA|A|MI|331|OFICIAL|0.6835|0.6985|0.6773|0.7229|0.6829999999999999|0.6946|B|ANTIOQUIA|BELLO|Urbano|6.3478782268|-75.56555067|Estrato 2|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.7101853344244029|5
567|205789000370|I. E. AGRICOLA VICTOR MANUEL OROZCO|ANTIOQUIA|A|MI|116|OFICIAL|0.6322|0.6407|0.6339|0.6759999999999999|0.6368|0.645|C|ANTIOQUIA|TAMESIS|Urbano|5.669599922000001|-75.71561895|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|TECNICO|0.3614415965625445|0
568|305001000093|I.E. PRADOS VERDES|ANTIOQUIA|A|MI|22|NO OFICIAL|0.6482|0.6368|0.6633|0.7104|0.6625|0.6645|C|ANTIOQUIA|MEDELLIN|Urbano|6.25861517700002|-75.55944239899999|Estrato 3|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.08935650785787028|2
569|205670000339|I. E. R. CRISTALES|ANTIOQUIA|A|MI|82|OFICIAL|0.6245|0.6131|0.6513|0.6835|0.5676|0.6373|C|ANTIOQUIA|SAN ROQUE|Rural|6.486046579|-74.91715044|Estrato 1|1|Primaria incompleta|Primaria incompleta|N|TECNICO/ACADEMICO|0.2761414847235545|0
570|105360000385|INSTITUCION EDUCATIVA ISOLDA ECHAVARRIA|ANTIOQUIA|A|MI|161|OFICIAL|0.7170000000000001|0.7170000000000001|0.6936|0.7424|0.7046|0.7165|B|ANTIOQUIA|ITAGUI|Urbano|6.1681064326|-75.62596721|Estrato 3|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|TECNICO/ACADEMICO|0.4780825583381616|1
571|305887000650|I. E. DE MARIA|ANTIOQUIA|A|MI|493|OFICIAL|0.6957|0.6837|0.6885|0.7221|0.665|0.695|B|ANTIOQUIA|YARUMAL|Urbano|6.963931302000001|-75.41617906|Estrato 2|0|Primaria completa|Primaria incompleta|N|TECNICO/ACADEMICO|0.8441639773384779|3
572|305266000095|LICEO FRANCISCO RESTREPO MOLINA|ANTIOQUIA|A|MI|426|NO OFICIAL|0.7824|0.7731|0.7865|0.7952|0.807|0.7861|A+|ANTIOQUIA|ENVIGADO|Urbano|6.1708744616999995|-75.58531977|Estrato 3|0|Educacion profesional completa|Educacion profesional completa|N|ACADEMICO|0.8488475626981564|2
